Zeit (in s); x (in cm) ; y (in cm); vx (in cm/s) ; vy (in cm/s)
0.000E0; -5.114E0; 5.453E-2; ; 
1.833E-2; -5.060E0; 5.438E-2; 2.951E0; -8.164E-3
5.167E-2; -4.969E0; 6.080E-2; 2.732E0; 1.927E-1
8.500E-2; -4.843E0; 5.024E-2; 3.774E0; -3.167E-1
1.183E-1; -4.666E0; 4.788E-2; 5.318E0; -7.109E-2
1.517E-1; -4.458E0; 5.410E-2; 6.231E0; 1.866E-1
1.850E-1; -4.213E0; 4.946E-2; 7.353E0; -1.392E-1
2.183E-1; -3.936E0; 1.909E-2; 8.326E0; -9.110E-1
2.517E-1; -3.622E0; 3.915E-2; 9.407E0; 6.018E-1
2.850E-1; -3.294E0; 5.522E-2; 9.839E0; 4.819E-1
3.183E-1; -2.923E0; 5.103E-2; 1.112E1; -1.255E-1
3.517E-1; -2.539E0; 5.361E-2; 1.153E1; 7.730E-2
3.850E-1; -2.142E0; 5.914E-2; 1.190E1; 1.658E-1
4.183E-1; -1.731E0; 7.423E-2; 1.235E1; 4.528E-1
4.517E-1; -1.312E0; 5.476E-2; 1.255E1; -5.839E-1
4.850E-1; -8.853E-1; 6.038E-2; 1.281E1; 1.686E-1
5.183E-1; -4.357E-1; 6.148E-2; 1.349E1; 3.283E-2
5.517E-1; 2.382E-2; 7.866E-2; 1.378E1; 5.154E-1
5.850E-1; 4.461E-1; 6.720E-2; 1.267E1; -3.437E-1
6.183E-1; 8.658E-1; 8.859E-2; 1.259E1; 6.417E-1
6.517E-1; 1.268E0; 9.210E-2; 1.207E1; 1.053E-1
6.850E-1; 1.659E0; 9.171E-2; 1.173E1; -1.183E-2
7.183E-1; 2.031E0; 8.193E-2; 1.116E1; -2.932E-1
7.517E-1; 2.393E0; 8.751E-2; 1.086E1; 1.673E-1
7.850E-1; 2.729E0; 9.278E-2; 1.009E1; 1.581E-1
8.183E-1; 3.020E0; 9.177E-2; 8.712E0; -3.047E-2
8.517E-1; 3.276E0; 9.029E-2; 7.677E0; -4.427E-2
8.850E-1; 3.512E0; 1.098E-1; 7.086E0; 5.846E-1
9.183E-1; 3.704E0; 1.124E-1; 5.757E0; 7.944E-2
9.517E-1; 3.855E0; 1.029E-1; 4.547E0; -2.851E-1
9.850E-1; 3.968E0; 1.168E-1; 3.389E0; 4.172E-1
1.018E0; 4.032E0; 1.318E-1; 1.913E0; 4.487E-1
1.052E0; 4.044E0; 1.191E-1; 3.587E-1; -3.804E-1
1.085E0; 4.010E0; 1.123E-1; -1.030E0; -2.051E-1
1.118E0; 3.928E0; 1.111E-1; -2.443E0; -3.555E-2
1.152E0; 3.816E0; 6.861E-2; -3.383E0; -1.274E0
1.185E0; 3.642E0; 1.193E-1; -5.221E0; 1.520E0
1.218E0; 3.439E0; 1.259E-1; -6.074E0; 1.995E-1
1.252E0; 3.210E0; 9.186E-2; -6.870E0; -1.022E0
1.285E0; 2.947E0; 9.616E-2; -7.878E0; 1.289E-1
1.318E0; 2.648E0; 7.797E-2; -8.992E0; -5.456E-1
1.352E0; 2.313E0; 8.168E-2; -1.003E1; 1.113E-1
1.385E0; 1.956E0; 6.831E-2; -1.073E1; -4.010E-1
1.418E0; 1.599E0; 6.974E-2; -1.070E1; 4.281E-2
1.452E0; 1.217E0; 6.884E-2; -1.146E1; -2.709E-2
1.485E0; 8.234E-1; 5.736E-2; -1.181E1; -3.443E-1
1.518E0; 4.213E-1; 6.074E-2; -1.206E1; 1.012E-1
1.552E0; -6.439E-3; 6.552E-2; -1.283E1; 1.434E-1
1.585E0; -4.346E-1; 4.704E-2; -1.284E1; -5.543E-1
1.618E0; -8.571E-1; 5.288E-2; -1.268E1; 1.752E-1
1.652E0; -1.256E0; 6.656E-2; -1.196E1; 4.105E-1
1.685E0; -1.655E0; 6.542E-2; -1.197E1; -3.413E-2
1.718E0; -2.033E0; 6.802E-2; -1.136E1; 7.797E-2
1.752E0; -2.410E0; 5.496E-2; -1.129E1; -3.918E-1
1.787E0; -2.761E0; 5.810E-2; -1.002E1; 8.959E-2
1.820E0; -3.081E0; 5.441E-2; -9.610E0; -1.107E-1
1.853E0; -3.387E0; 6.121E-2; -9.164E0; 2.040E-1
1.887E0; -3.664E0; 6.298E-2; -8.331E0; 5.333E-2
1.920E0; -3.908E0; 9.489E-2; -7.305E0; 9.572E-1
1.953E0; -4.134E0; 1.008E-1; -6.778E0; 1.763E-1
1.987E0; -4.314E0; 6.743E-2; -5.404E0; -1.000E0
2.020E0; -4.452E0; 4.686E-2; -4.135E0; -6.172E-1
2.053E0; -4.539E0; 4.992E-2; -2.615E0; 9.187E-2
2.087E0; -4.587E0; 5.491E-2; -1.444E0; 1.496E-1
2.120E0; -4.587E0; 6.004E-2; -1.720E-3; 1.540E-1
2.153E0; -4.560E0; 5.036E-2; 8.088E-1; -2.904E-1
2.187E0; -4.489E0; 6.527E-2; 2.141E0; 4.473E-1
2.220E0; -4.374E0; 4.409E-2; 3.454E0; -6.354E-1
2.253E0; -4.212E0; 5.085E-2; 4.844E0; 2.026E-1
2.287E0; -4.003E0; 9.161E-2; 6.266E0; 1.223E0
2.320E0; -3.772E0; 7.556E-2; 6.942E0; -4.816E-1
2.353E0; -3.509E0; 6.889E-2; 7.877E0; -1.998E-1
2.387E0; -3.229E0; 5.506E-2; 8.398E0; -4.152E-1
2.420E0; -2.918E0; 4.439E-2; 9.327E0; -3.198E-1
2.453E0; -2.586E0; 4.598E-2; 9.977E0; 4.762E-2
2.487E0; -2.249E0; 4.899E-2; 1.011E1; 9.012E-2
2.520E0; -1.882E0; 4.691E-2; 1.100E1; -6.224E-2
2.553E0; -1.508E0; 4.247E-2; 1.122E1; -1.331E-1
2.587E0; -1.115E0; 4.739E-2; 1.180E1; 1.475E-1
2.620E0; -7.178E-1; 6.241E-2; 1.191E1; 4.506E-1
2.653E0; -3.081E-1; 8.513E-2; 1.229E1; 6.817E-1
2.687E0; 9.182E-2; 7.879E-2; 1.200E1; -1.903E-1
2.720E0; 4.877E-1; 7.506E-2; 1.188E1; -1.117E-1
2.753E0; 8.614E-1; 8.953E-2; 1.121E1; 4.339E-1
2.787E0; 1.243E0; 9.691E-2; 1.144E1; 2.215E-1
2.820E0; 1.589E0; 7.759E-2; 1.040E1; -5.796E-1
2.853E0; 1.929E0; 9.783E-2; 1.020E1; 6.071E-1
2.887E0; 2.251E0; 6.675E-2; 9.653E0; -9.322E-1
2.920E0; 2.550E0; 6.981E-2; 8.958E0; 9.180E-2
2.953E0; 2.824E0; 6.894E-2; 8.224E0; -2.622E-2
2.987E0; 3.064E0; 7.559E-2; 7.191E0; 1.995E-1
3.020E0; 3.260E0; 9.059E-2; 5.882E0; 4.501E-1
3.053E0; 3.427E0; 1.082E-1; 5.032E0; 5.294E-1
3.087E0; 3.566E0; 1.164E-1; 4.161E0; 2.440E-1
3.120E0; 3.665E0; 1.057E-1; 2.964E0; -3.194E-1
