Zeit (in s); x (in cm) ; y (in cm); vx (in cm/s) ; vy (in cm/s)
0.000E0; 3.902E0; -7.125E-4; ; 
1.667E-3; 3.868E0; -8.966E-4; -2.030E1; -1.105E-1
3.500E-2; 3.769E0; -1.076E-3; -2.964E0; -5.390E-3
6.833E-2; 3.614E0; -2.525E-3; -4.650E0; -4.346E-2
1.017E-1; 3.402E0; 1.130E-3; -6.350E0; 1.096E-1
1.350E-1; 3.125E0; 3.205E-3; -8.314E0; 6.223E-2
1.683E-1; 2.820E0; -2.232E-3; -9.163E0; -1.631E-1
2.017E-1; 2.443E0; 5.779E-3; -1.130E1; 2.403E-1
2.350E-1; 2.050E0; 3.321E-3; -1.178E1; -7.376E-2
2.683E-1; 1.611E0; -9.358E-3; -1.318E1; -3.804E-1
3.017E-1; 1.134E0; 4.312E-3; -1.433E1; 4.101E-1
3.350E-1; 6.529E-1; 3.574E-3; -1.442E1; -2.215E-2
3.683E-1; 1.632E-1; 8.113E-3; -1.469E1; 1.361E-1
4.017E-1; -3.411E-1; 5.430E-3; -1.513E1; -8.048E-2
4.350E-1; -8.428E-1; 5.386E-3; -1.505E1; -1.312E-3
4.683E-1; -1.327E0; 2.403E-2; -1.451E1; 5.593E-1
5.017E-1; -1.790E0; 3.560E-2; -1.391E1; 3.471E-1
5.350E-1; -2.235E0; 3.584E-2; -1.334E1; 7.051E-3
5.683E-1; -2.640E0; 4.725E-2; -1.217E1; 3.423E-1
6.017E-1; -3.014E0; 5.168E-2; -1.121E1; 1.329E-1
6.350E-1; -3.334E0; 5.753E-2; -9.589E0; 1.756E-1
6.683E-1; -3.602E0; 5.880E-2; -8.036E0; 3.794E-2
7.017E-1; -3.802E0; 6.174E-2; -6.002E0; 8.845E-2
7.350E-1; -3.954E0; 6.038E-2; -4.580E0; -4.096E-2
7.683E-1; -4.057E0; 5.927E-2; -3.068E0; -3.341E-2
8.017E-1; -4.068E0; 5.829E-2; -3.480E-1; -2.937E-2
8.350E-1; -4.001E0; 6.304E-2; 2.030E0; 1.425E-1
8.683E-1; -3.873E0; 6.466E-2; 3.836E0; 4.868E-2
9.017E-1; -3.693E0; 5.973E-2; 5.390E0; -1.479E-1
9.350E-1; -3.447E0; 6.584E-2; 7.391E0; 1.835E-1
9.683E-1; -3.146E0; 6.638E-2; 9.013E0; 1.617E-2
1.002E0; -2.795E0; 5.652E-2; 1.052E1; -2.957E-1
1.035E0; -2.414E0; 5.586E-2; 1.145E1; -1.998E-2
1.068E0; -1.995E0; 4.599E-2; 1.255E1; -2.961E-1
1.102E0; -1.558E0; 4.625E-2; 1.313E1; 7.759E-3
1.135E0; -1.096E0; 3.932E-2; 1.384E1; -2.078E-1
1.168E0; -6.105E-1; 3.342E-2; 1.458E1; -1.770E-1
1.202E0; -1.246E-1; 3.408E-2; 1.458E1; 1.965E-2
1.235E0; 3.576E-1; 2.964E-2; 1.447E1; -1.330E-1
1.268E0; 8.281E-1; 1.758E-2; 1.411E1; -3.617E-1
1.302E0; 1.279E0; 1.165E-2; 1.354E1; -1.781E-1
1.335E0; 1.715E0; 1.340E-2; 1.306E1; 5.259E-2
1.368E0; 2.130E0; 1.229E-2; 1.245E1; -3.337E-2
1.402E0; 2.501E0; 6.884E-3; 1.113E1; -1.622E-1
1.435E0; 2.826E0; 4.775E-3; 9.753E0; -6.327E-2
1.468E0; 3.115E0; -5.714E-3; 8.672E0; -3.147E-1
1.502E0; 3.345E0; -3.952E-3; 6.894E0; 5.286E-2
1.535E0; 3.518E0; 3.223E-3; 5.189E0; 2.153E-1
1.568E0; 3.634E0; 8.807E-3; 3.477E0; 1.675E-1
1.602E0; 3.686E0; 1.559E-2; 1.572E0; 2.036E-1
1.635E0; 3.702E0; 8.169E-3; 4.600E-1; -2.228E-1
1.668E0; 3.664E0; 9.452E-3; -1.138E0; 3.850E-2
1.702E0; 3.572E0; 9.237E-3; -2.758E0; -6.470E-3
1.735E0; 3.423E0; 8.987E-3; -4.457E0; -7.484E-3
1.768E0; 3.214E0; 7.535E-3; -6.269E0; -4.358E-2
1.802E0; 2.961E0; 2.387E-3; -7.601E0; -1.544E-1
1.835E0; 2.653E0; -4.417E-4; -9.251E0; -8.486E-2
1.868E0; 2.308E0; 2.338E-3; -1.035E1; 8.339E-2
1.902E0; 1.911E0; 4.353E-3; -1.189E1; 6.043E-2
1.935E0; 1.484E0; 8.723E-3; -1.283E1; 1.311E-1
1.968E0; 1.038E0; 5.371E-3; -1.336E1; -1.006E-1
2.002E0; 5.760E-1; 8.071E-3; -1.387E1; 8.102E-2
2.035E0; 1.082E-1; 1.316E-2; -1.403E1; 1.526E-1
